Parameter,Value,Value Litt,Range,List,Integer,Type,Unit,Description,Source
Lambda_Mon_CCL2,30,0.272727273,TRUE,FALSE,FALSE,Arrival,10^3cells/pg,Inlux of Monocytes in the Lamina Propria due to the consumption of CCL2,Knobloch1985
Lambda_ImDC,5,7.7,TRUE,FALSE,FALSE,Arrival,10^3cells/mm^3.d,Inlux of Immature Dendritic Cells in the Lamina Propria,Knobloch1985
Lambda_Mon_K,0.2,<<<0.27272727273,TRUE,FALSE,FALSE,Arrival,10^3cells/mm^3.d,Inlux of Monocytes in the Lamina Propria ,Knobloch1985
Lambda_nTc,0.006,0.006,TRUE,FALSE,FALSE,Arrival,10^3cells/mm^3.d,Inlux of naive T cells in the MLN,DeBoer2013
barXi_DC_fTH17,0.9,2.78,TRUE,FALSE,FALSE,Binding,1/d,Unbiding rate of fTH17 from DC,Obst2015
barXi_DC_fTreg,0.9,2.78,TRUE,FALSE,FALSE,Binding,1/d,Unbiding rate of fTreg from DC,Obst2015
xi_nTc_DC_0,458,4.586*e^4,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of nTc to DC (Numerator in Hill equation),"Stein2015, Stone2009, Labrecque2001"
xi_TH17_DC_0,458.6,4.586*e^4,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of TH17 to DC (Numerator in Hill equation),"Stein2015, Labrecque2001"
xi_Treg_DC_0,458.6,4.586*e^4,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of Treg to DC (Numerator in Hill equation),"Stein2015, Labrecque2001"
xi_Mac_Ag,500,0,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of antigen to Macrophages (Numerator in Hill equation),
xi_Epi_Ag,500,0,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of antigen to Epi (Numerator in Hill equation),
xi_sEpi_Ag,500,0,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of antigen to stem Epi (Numerator in Hill equation),
K_nTc,160,1.6*10^7,TRUE,FALSE,FALSE,Binding Bis,1/d,Binding rate of nTc to DC (Denominator in Hill equation),"Stone2009, Labrecque2001"
K_TH17,560,1.6*10^7,TRUE,FALSE,FALSE,Binding Bis,1/d,Binding rate of TH17 to DC (Denominator in Hill equation),"Stone2009, Labrecque2001"
K_Treg,560,1.6*10^7,TRUE,FALSE,FALSE,Binding Bis,1/d,Binding rate of Treg to DC (Denominator in Hill equation),"Stone2009, Labrecque2001"
Gamma_CCL2_Mon,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL2 by Monocytes (Numerator in Hill equation),Knobloch1985
Gamma_CCL25_sTH17,0.3,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL25 by stabilized TH17 (Numerator in Hill equation),Knobloch1985
Gamma_CCL25_sTreg,0.3,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL25 by stabilized Treg (Numerator in Hill equation),Knobloch1985
Gamma_CCL25_TH17,0.3,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL25 by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_CCL25_Treg,0.3,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL2 by Treg (Numerator in Hill equation),Knobloch1985
Gamma_Csf2_eDC,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Csf2 by effector DC (Numerator in Hill equation),Knobloch1985
Gamma_Csf2_tDC,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Csf2 by tolerogenic DC (Numerator in Hill equation),Knobloch1985
Gamma_eRA_fTH17,0.01,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Retinoic acid bound to effector DC by fixed TH17 (Numerator in Hill equation),Knobloch1985
Gamma_eRA_fTreg,0.01,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Retinoic acid bound to effector DC by fixed Treg (Numerator in Hill equation),Knobloch1985
Gamma_eRA_nTe,0.01,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Retinoic acid bound to effector DC by naive T cell bound to effector DC (Numerator in Hill equation),Knobloch1985
Gamma_IL10_eDC,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by effector DC (Numerator in Hill equation),Knobloch1985
Gamma_IL10_fTH17,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by fixed TH17 (Numerator in Hill equation),Knobloch1985
Gamma_IL10_fTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by fixed Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL10_Mac,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by Macrophages (Numerator in Hill equation),Knobloch1985
Gamma_IL10_mTH17,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by moving TH17 (Numerator in Hill equation),Knobloch1985
Gamma_IL10_mTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by moving Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL10_sTH17,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by stabilized TH17 (Numerator in Hill equation),Knobloch1985
Gamma_IL10_sTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by stabilized Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL10_TH17,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_IL10_Treg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL10_tTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL10 by thymic Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL1Beta_23_ILC3,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL1Beta-23 by ILC3 (Numerator in Hill equation),Knobloch1985
Gamma_IL1Beta_23_TH17,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL1Beta-23 by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_IL1Beta_23_Treg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL1Beta-23 by Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL2_fTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL2 by fixed Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL2_mTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL2 by moving Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL2_nTe,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL2 by naive T cell bound to effector DC (Numerator in Hill equation),Knobloch1985
Gamma_IL2_nTt,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL2 by naive T cell bound to tolerogenic DC (Numerator in Hill equation),Knobloch1985
Gamma_IL2_sTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL2 by stabilized Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL2_Treg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL2 by Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL2_tTreg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL2 by thymic Treg (Numerator in Hill equation),Knobloch1985
Gamma_IL21_fTH17,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL21 by fixed TH17 (Numerator in Hill equation),Knobloch1985
Gamma_IL21_nTe,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL21 by naive T cell bound to effector DC (Numerator in Hill equation),Knobloch1985
Gamma_IL21_nTt,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL21 by naive T cell bound to tolerogenic DC (Numerator in Hill equation),Knobloch1985
Gamma_IL6_nTe,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL6 by naive T cell bound to effector DC (Numerator in Hill equation),Knobloch1985
Gamma_IL6_nTt,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of IL6 by naive T cell bound to tolerogenic DC (Numerator in Hill equation),Knobloch1985
Gamma_SAA_Mac,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of SAA by Macrophages (Numerator in Hill equation),Knobloch1985
Gamma_SAA_sTH17,5.5,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of SAA by stabilized TH17 (Numerator in Hill equation),Knobloch1985
Gamma_SAA_TH17,5.5,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL2 by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_TGFBeta_Mon,1.249968255,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of TGF-Beta by Monocytes (Numerator in Hill equation),Knobloch1985
Gamma_TGFBeta_nTe,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of TGF-Beta by naive T cell bound to effector DC (Numerator in Hill equation),Knobloch1985
Gamma_TGFBeta_nTt,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of TGF-Beta by naive T cell bound to tolerogenic DC (Numerator in Hill equation),Knobloch1985
Gamma_TGFBeta_TH17,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of TGF-Beta by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_TGFBeta_Treg,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of TGF-Beta by Treg (Numerator in Hill equation),Knobloch1985
Gamma_tRA_fTH17,0.01,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Retinoic acid bound to tolerogenic DC by fixed TH17 (Numerator in Hill equation),Knobloch1985
Gamma_tRA_fTreg,0.01,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Retinoic acid bound to tolerogenic DC by fixed Treg (Numerator in Hill equation),Knobloch1985
Gamma_tRA_nTt,0.01,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of Retinoic acid bound to tolerogenic DC by naive T cell bound to tolerogenic DC (Numerator in Hill equation),Knobloch1985
Gamma_IL10_Epi,0.096325355,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d.mm,Consumption of IL10 by Epithelial cell (Numerator in Hill equation),Knobloch1985
Gamma_IL10_sEpi,0.096325355,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d.mm,Consumption of IL10 by stem Epithelial cell (Numerator in Hill equation),Knobloch1985
Gamma_IL17_Epi,1,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d.mm,Consumption of IL17 by Epithelial cell (Numerator in Hill equation),Knobloch1985
Gamma_IL17_sEpi,0.96325355,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d.mm,Consumption of IL17 by stem Epithelial cell (Numerator in Hill equation),Knobloch1985
Gamma_IL22_Epi,1,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d.mm,Consumption of IL22 by Epithelial cell (Numerator in Hill equation),Knobloch1985
Gamma_IL22_sEpi,0.96325355,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d.mm,Consumption of IL22 by stem Epithelial cell (Numerator in Hill equation),Knobloch1985
Gamma_eRA_TH17,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to effector DC by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_eRA_Treg,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to effector DC by Treg (Numerator in Hill equation),Knobloch1985
Gamma_tRA_TH17,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to tolerogenic DC by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_tRA_Treg,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to tolerogenic DC by Treg (Numerator in Hill equation),Knobloch1985
Gamma_eRA_Epi_TH17,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to Epithelial cell by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_eRA_sEpi_TH17,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to stem Epithelial cell by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_tRA_Epi_TH17,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to Epithelial cell by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_tRA_sEpi_TH17,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to stem Epithelial cell by TH17 (Numerator in Hill equation),Knobloch1985
Gamma_eRA_Epi_Treg,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to Epithelial cell by Treg (Numerator in Hill equation),Knobloch1985
Gamma_eRA_sEpi_Treg,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to stem Epithelial cell by Treg (Numerator in Hill equation),Knobloch1985
Gamma_tRA_Epi_Treg,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to Epithelial cell by Treg (Numerator in Hill equation),Knobloch1985
Gamma_tRA_sEpi_Treg,0.1408,0.1408,TRUE,FALSE,FALSE,Consumption,pg.mm^3/(10^3cells)^2.d,Consumption of retinoic acid bound to stem Epithelial cell by Treg (Numerator in Hill equation),Knobloch1985
K_eRA_fTH17,1.00E+00,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to effector DC by fixed TH17 (Denominator in Hill equation),Hammacher1996
K_eRA_fTreg,1.00E+00,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to effector DC by fixed Treg (Denominator in Hill equation),Hammacher1996
K_eRA_nTe,1.60E+00,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to effector DC by naive T cell bound to effector DC (Denominator in Hill equation),Hammacher1996
K_eRA_TH17,215,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to effector DC by TH17 (Denominator in Hill equation),Hammacher1996
K_eRA_Treg,215,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to effector DC by Treg (Denominator in Hill equation),Hammacher1996
K_tRA_fTH17,1.00E+00,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to tolerogenic DC by fixed TH17 (Denominator in Hill equation),Hammacher1996
K_tRA_fTreg,1.00E+00,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to tolerogenic DC by fixed Treg (Denominator in Hill equation),Hammacher1996
K_tRA_nTt,1.60E+00,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to tolerogenic DC by naive T cell bound to effector DC (Denominator in Hill equation),Hammacher1996
K_tRA_TH17,215,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to tolerogenic DC by TH17 (Denominator in Hill equation),Hammacher1996
K_tRA_Treg,215,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of Retinoic acid bound to tolerogenic DC by Treg (Denominator in Hill equation),Hammacher1996
K_eRA_Epi_TH17,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to Epithelial cell by TH17 (Denominator in Hill equation),Hammacher1996
K_eRA_sEpi_TH17,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to stem Epithelial cell by TH17 (Denominator in Hill equation),Hammacher1996
K_tRA_Epi_TH17,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to Epithelial cell by TH17 (Denominator in Hill equation),Hammacher1996
K_tRA_sEpi_TH17,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to stem Epithelial cell by TH17 (Denominator in Hill equation),Hammacher1996
K_eRA_Epi_Treg,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to Epithelial cell by Treg (Denominator in Hill equation),Hammacher1996
K_eRA_sEpi_Treg,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to stem Epithelial cell by Treg (Denominator in Hill equation),Hammacher1996
K_tRA_Epi_Treg,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to Epithelial cell by Treg (Denominator in Hill equation),Hammacher1996
K_tRA_sEpi_Treg,215.449136,16.8,TRUE,FALSE,FALSE,Consumption Bis,pg/10^3cells,Consumption of retinoic acid bound to stem Epithelial cell by Treg (Denominator in Hill equation),Hammacher1996
K_CCL2_Mon,210,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of CCL2 by Monocytes (Denominator in Hill equation),Hammacher1996
K_CCL25_sTH17,3,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of CCL25 by stabilized TH17 (Denominator in Hill equation),Hammacher1996
K_CCL25_sTreg,3,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of CCL25 by stabilized Treg (Denominator in Hill equation),Hammacher1996
K_CCL25_TH17,3,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of CCL25 by TH17 (Denominator in Hill equation),Hammacher1996
K_CCL25_Treg,3,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of CCL2 by Treg (Denominator in Hill equation),Hammacher1996
K_Csf2_eDC,210,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of Csf2 by effector DC (Denominator in Hill equation),Hammacher1996
K_Csf2_tDC,210,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of Csf2 by tolerogenic DC (Denominator in Hill equation),Hammacher1996
K_IL10_eDC,210,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of IL10 by effector DC (Denominator in Hill equation),Hammacher1996
K_IL10_Epi,210,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of IL10 by Epithelial cell (Denominator in Hill equation),Hammacher1996
K_IL17_Epi,21,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of IL17 by Epithelial cell (Denominator in Hill equation),Hammacher1996
K_IL17_sEpi,21,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of IL17 by stem Epithelial cell (Denominator in Hill equation),Hammacher1996
K_IL10_fTH17,210,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of IL10 by fixed TH17 (Denominator in Hill equation),Hammacher1996
K_IL10_fTreg,210,210,TRUE,FALSE,FALSE,Consumption Bis,pg/mm^3,Consumption of IL10 by fixed Treg (Denominator in Hill equation),Hammacher1996
